"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","808","Нельзя создать двух одинаковых курьеров","tests","2026-09-05","passed","2026-09-05","TestCreateCourier","test_create_courier","",""
"","793","Курьер может принять заказ","tests","2026-09-05","passed","2026-09-05","TestAcceptOrder","test_accept_order","",""
"","718","Нельзя создать курьера без обязательного поля: login","tests","2026-09-05","passed","2026-09-05","TestCreateCourier","test_create_courier","",""
"","771","Курьер может авторизоваться","tests","2026-09-05","passed","2026-09-05","TestLoginCourier","test_login_courier","",""
"","1219","Курьера можно удалить","tests","2026-09-05","passed","2026-09-05","TestDeleteCourier","test_delete_courier","",""
"","787","Можно получить заказ по его track","tests","2026-09-05","passed","2026-09-05","TestGetOrder","test_get_order","",""
"","882","Можно создать заказ с вариантом цвета: ['BLACK', 'GREY']","tests","2026-09-05","passed","2026-09-05","TestCreateOrder","test_create_order","",""
"","797","Можно создать заказ с вариантом цвета: ['GREY']","tests","2026-09-05","passed","2026-09-05","TestCreateOrder","test_create_order","",""
"","730","Нельзя авторизоваться с неверным паролем","tests","2026-09-05","passed","2026-09-05","TestLoginCourier","test_login_courier","",""
"","701","Можно создать заказ с вариантом цвета: ['BLACK']","tests","2026-09-05","passed","2026-09-05","TestCreateOrder","test_create_order","",""
"","782","Курьера можно создать","tests","2026-09-05","passed","2026-09-05","TestCreateCourier","test_create_courier","",""
"","759","Нельзя авторизоваться без обязательного поля login","tests","2026-09-05","passed","2026-09-05","TestLoginCourier","test_login_courier","",""
"","761","Нельзя создать курьера без обязательного поля: password","tests","2026-09-05","passed","2026-09-05","TestCreateCourier","test_create_courier","",""
"","718","Можно создать заказ без указания цвета","tests","2026-09-05","passed","2026-09-05","TestCreateOrder","test_create_order","",""
"","15087","В ответе возвращается список заказов","tests","2026-09-05","passed","2026-09-05","TestOrdersList","test_orders_list","",""
"","727","Нельзя авторизоваться несуществующему курьеру","tests","2026-09-05","passed","2026-09-05","TestLoginCourier","test_login_courier","",""
